,100,500,1000,5000,10000
bubble_sort,0.0012536999999999132,0.03178545200000027,0.13101245200000022,3.1942287000000005,12.833817558999998
selection_sort,0.0005332639999999778,0.013979507000000169,0.057710200999999905,1.2855855490000003,5.1499128950000035
insertion_sort,0.001000368999999779,0.025880614999999718,0.10728439499999975,2.5616152430000003,10.057290006000002
cocktail_sort,0.0010721739999999258,0.0297583480000001,0.15182538599999962,3.211482736999999,12.775854791999997
merge_sort,0.0005823930000001809,0.0031695599999999047,0.0077284950000002794,0.04547213000000028,0.08913983899999778
quick_sort,0.000388485000000216,0.001484302999999798,0.0034547649999998598,0.019190833999999768,0.038498302999997236
shell_sort,0.0010137040000000042,0.018209675000000036,0.07770189000000016,1.7557729880000004,6.892177738999997
heap_sort,0.0005639459999997598,0.003169918000000216,0.007040678000000078,0.04481533999999954,0.09814505399999973
